"onlychild" "age" "gender"
"1" 0 23 "female"
"2" 0 19 "female"
"3" 0 30 "female"
"4" 0 30 "female"
"5" 0 27 "female"
"6" 0 35 "female"
"7" 0 28 "female"
"8" 1 28 "female"
"9" 0 26 "female"
"10" 0 21 "female"
"11" 0 27 "female"
"12" 0 32 "female"
"13" 0 28 "female"
"14" 0 32 "female"
"15" 0 24 "female"
"16" 0 25 "female"
"17" 0 26 "female"
"18" 0 26 "female"
"19" 0 32 "female"
"20" 0 28 "female"
"21" 0 34 "female"
"22" 0 27 "female"
"23" 1 31 "female"
"24" 0 25 "female"
"25" 0 22 "female"
"26" 0 28 "female"
"27" 0 27 "female"
"28" 0 32 "female"
"29" 0 27 "female"
"30" 0 40 "female"
"31" 0 23 "female"
"32" 1 31 "female"
"33" 0 20 "female"
"34" 0 33 "female"
"35" 0 22 "female"
"36" 0 23 "female"
"37" 0 33 "female"
"38" 0 24 "female"
"39" 1 37 "female"
"40" 0 21 "female"
"41" 0 29 "female"
"42" 1 29 "female"
"43" 0 33 "female"
"44" 0 20 "female"
"45" 0 28 "female"
"46" 0 20 "female"
"47" 1 29 "female"
"48" 0 22 "female"
"49" 0 27 "female"
"50" 1 21 "female"
"51" 0 24 "female"
"52" 1 21 "female"
"53" 0 20 "female"
"54" 0 18 "female"
"55" 0 35 "female"
"56" 0 28 "female"
"57" 0 26 "female"
"58" 0 27 "female"
"59" 1 37 "female"
"60" 1 28 "female"
"61" 0 23 "female"
"62" 0 27 "female"
"63" 1 25 "female"
"64" 1 32 "female"
"65" 0 22 "female"
"66" 0 27 "female"
"67" 1 27 "female"
"68" 0 28 "female"
"69" 1 32 "female"
"70" 0 28 "female"
"71" 0 29 "female"
"72" 0 33 "female"
"73" 0 26 "female"
"74" 0 28 "female"
"75" 0 22 "female"
"76" 0 27 "female"
"77" 0 28 "female"
"78" 0 24 "female"
"79" 0 42 "female"
"80" 0 26 "female"
"81" 0 20 "female"
"82" 1 21 "female"
"83" 0 27 "female"
"84" 0 22 "female"
"85" 0 28 "female"
"86" 1 26 "female"
"87" 0 26 "female"
"88" 0 29 "female"
"89" 0 22 "female"
"90" 1 23 "female"
"91" 0 25 "female"
"92" 0 27 "female"
"93" 0 27 "female"
"94" 0 36 "female"
"95" 1 37 "female"
"96" 0 29 "female"
"97" 0 22 "female"
"98" 0 28 "female"
"99" 0 36 "female"
"100" 0 17 "female"
"101" 0 33 "female"
"102" 0 22 "female"
"103" 0 32 "female"
"104" 0 22 "female"
"105" 0 24 "female"
"106" 1 31 "female"
"107" 0 32 "female"
"108" 1 23 "female"
"109" 1 39 "female"
"110" 0 25 "female"
"111" 0 26 "female"
"112" 1 30 "female"
"113" 0 26 "female"
"114" 0 33 "female"
"115" 0 24 "female"
"116" 0 35 "female"
"117" 0 27 "female"
"118" 0 22 "female"
"119" 0 22 "female"
"120" 0 21 "female"
"121" 1 24 "female"
"122" 1 24 "female"
"123" 0 22 "female"
"124" 0 26 "female"
"125" 1 31 "female"
"126" 0 23 "female"
"127" 0 22 "female"
"128" 0 37 "female"
"129" 0 29 "female"
"130" 1 29 "female"
"131" 1 22 "female"
"132" 0 23 "female"
"133" 0 31 "female"
"134" 0 28 "female"
"135" 0 32 "female"
"136" 1 29 "female"
"137" 0 31 "female"
"138" 1 32 "female"
"139" 0 26 "female"
"140" 0 27 "female"
"141" 0 39 "female"
"142" 0 21 "female"
"143" 0 26 "female"
"144" 0 29 "female"
"145" 0 29 "female"
"146" 0 24 "female"
"147" 1 30 "female"
"148" 0 26 "female"
"149" 1 21 "female"
"150" 1 24 "female"
"151" 0 19 "female"
"152" 0 29 "female"
"153" 0 31 "female"
"154" 0 27 "female"
"155" 0 21 "female"
"156" 0 24 "female"
"157" 0 29 "female"
"158" 1 30 "female"
"159" 0 19 "female"
"160" 0 28 "female"
